=== User Hand ===
1. Ace of Diamonds
2. Ten of Spades
3. Eight of Hearts
4. Jack of Diamonds
5. Ace of Hearts
6. Jack of Clubs
7. Eight of Spades
8. Queen of Hearts

=== AI Hand ===
1. Jack of Hearts
2. Nine of Spades
3. Seven of Hearts
4. Eight of Diamonds
5. Eight of Clubs
6. Ace of Clubs
7. Seven of Clubs
8. Ten of Diamonds

=== Table Cards ===
1. King of Diamonds
2. King of Spades
3. Ace of Spades
4. Queen of Diamonds
5. Six of Clubs
6. Six of Hearts
7. Queen of Clubs
8. Seven of Diamonds
9. Six of Diamonds
10. King of Clubs
11. Jack of Spades
12. Six of Spades
13. Nine of Hearts
14. Queen of Spades
15. Nine of Clubs
16. Ten of Hearts
17. King of Hearts
18. Seven of Spades
19. Ten of Clubs
20. Nine of Diamonds
